2019-06-17 18:13:13,155 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 18:13:48,870 INFO - __main__ - Completed generating dataset.
2019-06-17 18:13:48,871 INFO - __main__ - Dataset info: {'X_train_np.shape': (825309, 672), 'y_train_np.shape': (825309, 5), 'X_val_np.shape': (275103, 672), 'y_val_np.shape': (275103, 5), 'X_test_np.shape': (276432, 672), 'y_test_np.shape': (276432, 5)}
2019-06-17 18:13:52,535 INFO - models.multi_lightgbm - Finished building model.
2019-06-17 18:13:52,536 INFO - models.multi_lightgbm - Model summary:
2019-06-17 18:13:52,537 INFO - models.multi_lightgbm - 1-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,538 INFO - models.multi_lightgbm - 2-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 3-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 4-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,540 INFO - models.multi_lightgbm - 5-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,545 INFO - trainers.multi_lightgbm_trainer - Started training for the 1-th regressor.
[1]	valid_0's rmse: 0.138556	valid_0's l2: 0.0191977
[2213]	valid_0's rmse: 0.023861	valid_0's l2: 0.000569347
[2214]	valid_0's rmse: 0.0238611	valid_0's l2: 0.00056935
[2215]	valid_0's rmse: 0.023861	valid_0's l2: 0.000569349
[2216]	valid_0's rmse: 0.0238609	valid_0's l2: 0.000569345
[2217]	valid_0's rmse: 0.0238609	valid_0's l2: 0.000569342
[2218]	valid_0's rmse: 0.023861	valid_0's l2: 0.000569348
[2219]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569353
[2220]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569355
[2221]	valid_0's rmse: 0.0238613	valid_0's l2: 0.00056936
[2222]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569358
[2223]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569353
[2224]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569352
[2225]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569355
[2226]	valid_0's rmse: 0.0238613	valid_0's l2: 0.00056936
[2227]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569356
[2228]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569357
[2229]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569354
[2230]	valid_0's rmse: 0.023861	valid_0's l2: 0.00056935
[2231]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569352
[2232]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569352
[2233]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569357
[2234]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569358
[2235]	valid_0's rmse: 0.0238613	valid_0's l2: 0.00056936
[2236]	valid_0's rmse: 0.0238614	valid_0's l2: 0.000569365
[2237]	valid_0's rmse: 0.0238613	valid_0's l2: 0.000569363
[2238]	valid_0's rmse: 0.0238613	valid_0's l2: 0.000569361
[2239]	valid_0's rmse: 0.0238613	valid_0's l2: 0.000569362
[2240]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569356
[2241]	valid_0's rmse: 0.0238613	valid_0's l2: 0.000569363
[2242]	valid_0's rmse: 0.0238613	valid_0's l2: 0.000569362
[2243]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569356
[2244]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569358
[2245]	valid_0's rmse: 0.0238613	valid_0's l2: 0.000569359
[2246]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569357
[2247]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569352
[2248]	valid_0's rmse: 0.0238611	valid_0's l2: 0.00056935
[2249]	valid_0's rmse: 0.023861	valid_0's l2: 0.000569347
[2250]	valid_0's rmse: 0.0238609	valid_0's l2: 0.000569345
[2251]	valid_0's rmse: 0.0238609	valid_0's l2: 0.000569342
[2252]	valid_0's rmse: 0.0238609	valid_0's l2: 0.00056934
[2253]	valid_0's rmse: 0.0238607	valid_0's l2: 0.000569335
[2254]	valid_0's rmse: 0.0238607	valid_0's l2: 0.000569333
[2255]	valid_0's rmse: 0.0238607	valid_0's l2: 0.000569332
[2256]	valid_0's rmse: 0.0238605	valid_0's l2: 0.000569323
[2257]	valid_0's rmse: 0.0238605	valid_0's l2: 0.000569324
[2258]	valid_0's rmse: 0.0238604	valid_0's l2: 0.00056932
[2259]	valid_0's rmse: 0.0238604	valid_0's l2: 0.000569317
[2260]	valid_0's rmse: 0.0238604	valid_0's l2: 0.000569317
[2261]	valid_0's rmse: 0.0238602	valid_0's l2: 0.000569308
[2262]	valid_0's rmse: 0.0238602	valid_0's l2: 0.000569308
[2263]	valid_0's rmse: 0.0238603	valid_0's l2: 0.000569312
[2264]	valid_0's rmse: 0.0238603	valid_0's l2: 0.000569314
[2265]	valid_0's rmse: 0.0238603	valid_0's l2: 0.000569313
[2266]	valid_0's rmse: 0.0238602	valid_0's l2: 0.000569311
[2267]	valid_0's rmse: 0.0238602	valid_0's l2: 0.000569311
[2268]	valid_0's rmse: 0.0238603	valid_0's l2: 0.000569313
[2269]	valid_0's rmse: 0.0238603	valid_0's l2: 0.000569315
[2270]	valid_0's rmse: 0.0238603	valid_0's l2: 0.000569316
[2271]	valid_0's rmse: 0.0238603	valid_0's l2: 0.000569313
[2272]	valid_0's rmse: 0.0238602	valid_0's l2: 0.00056931
[2273]	valid_0's rmse: 0.0238603	valid_0's l2: 0.000569312
[2274]	valid_0's rmse: 0.0238602	valid_0's l2: 0.000569309
[2275]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569305
[2276]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569304
[2277]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569304
[2278]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569304
[2279]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569303
[2280]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569303
[2281]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569305
[2282]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569306
[2283]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569303
[2284]	valid_0's rmse: 0.02386	valid_0's l2: 0.000569302
[2285]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569303
[2286]	valid_0's rmse: 0.02386	valid_0's l2: 0.000569301
[2287]	valid_0's rmse: 0.02386	valid_0's l2: 0.0005693
[2288]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569303
[2289]	valid_0's rmse: 0.0238601	valid_0's l2: 0.000569306
[2290]	valid_0's rmse: 0.0238599	valid_0's l2: 0.000569296
[2291]	valid_0's rmse: 0.02386	valid_0's l2: 0.000569301
[2292]	valid_0's rmse: 0.0238599	valid_0's l2: 0.000569294
[2293]	valid_0's rmse: 0.02386	valid_0's l2: 0.000569297
[2294]	valid_0's rmse: 0.0238599	valid_0's l2: 0.000569296
[2295]	valid_0's rmse: 0.0238598	valid_0's l2: 0.000569292
[2296]	valid_0's rmse: 0.0238599	valid_0's l2: 0.000569294
[2297]	valid_0's rmse: 0.0238599	valid_0's l2: 0.000569294
[2298]	valid_0's rmse: 0.0238599	valid_0's l2: 0.000569294
[2299]	valid_0's rmse: 0.0238599	valid_0's l2: 0.000569296
[2300]	valid_0's rmse: 0.0238598	valid_0's l2: 0.000569288
[2301]	valid_0's rmse: 0.0238598	valid_0's l2: 0.000569289
[2302]	valid_0's rmse: 0.0238597	valid_0's l2: 0.000569287
[2303]	valid_0's rmse: 0.0238598	valid_0's l2: 0.000569288
[2304]	valid_0's rmse: 0.0238597	valid_0's l2: 0.000569286
[2305]	valid_0's rmse: 0.0238595	valid_0's l2: 0.000569277
[2306]	valid_0's rmse: 0.0238596	valid_0's l2: 0.00056928
[2307]	valid_0's rmse: 0.0238595	valid_0's l2: 0.000569278
[2308]	valid_0's rmse: 0.0238596	valid_0's l2: 0.000569282
[2309]	valid_0's rmse: 0.0238596	valid_0's l2: 0.00056928
[2310]	valid_0's rmse: 0.0238595	valid_0's l2: 0.000569274
[2311]	valid_0's rmse: 0.0238595	valid_0's l2: 0.000569274
[2312]	valid_0's rmse: 0.0238594	valid_0's l2: 0.000569273
[2313]	valid_0's rmse: 0.0238594	valid_0's l2: 0.00056927
[2314]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569258
[2315]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569256
[2316]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569259
[2317]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569258
[2318]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569262
[2319]	valid_0's rmse: 0.0238593	valid_0's l2: 0.000569267
[2320]	valid_0's rmse: 0.0238593	valid_0's l2: 0.000569268
[2321]	valid_0's rmse: 0.0238593	valid_0's l2: 0.000569266
[2322]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569262
[2323]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569258
[2324]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569259
[2325]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569258
[2326]	valid_0's rmse: 0.0238592	valid_0's l2: 0.00056926
[2327]	valid_0's rmse: 0.0238592	valid_0's l2: 0.00056926
[2328]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569256
[2329]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569257
[2330]	valid_0's rmse: 0.0238592	valid_0's l2: 0.00056926
[2331]	valid_0's rmse: 0.0238592	valid_0's l2: 0.00056926
[2332]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569263
[2333]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569263
[2334]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569263
[2335]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569262
[2336]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569263
[2337]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569261
[2338]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569259
[2339]	valid_0's rmse: 0.0238593	valid_0's l2: 0.000569266
[2340]	valid_0's rmse: 0.0238592	valid_0's l2: 0.000569263
[2341]	valid_0's rmse: 0.0238593	valid_0's l2: 0.000569264
[2342]	valid_0's rmse: 0.0238593	valid_0's l2: 0.000569265
[2343]	valid_0's rmse: 0.0238593	valid_0's l2: 0.000569266
[2344]	valid_0's rmse: 0.0238592	valid_0's l2: 0.00056926
[2345]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569259
[2346]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569256
[2347]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569255
[2348]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569256
[2349]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569259
[2350]	valid_0's rmse: 0.0238591	valid_0's l2: 0.000569258
[2351]	valid_0's rmse: 0.023859	valid_0's l2: 0.000569254
[2352]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569249
[2353]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569248
[2354]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569247
[2355]	valid_0's rmse: 0.0238587	valid_0's l2: 0.000569239
[2356]	valid_0's rmse: 0.0238587	valid_0's l2: 0.000569237
[2357]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569246
[2358]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569246
[2359]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569245
[2360]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569247
[2361]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569245
[2362]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569244
[2363]	valid_0's rmse: 0.0238588	valid_0's l2: 0.00056924
[2364]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569241
[2365]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569244
[2366]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569249
[2367]	valid_0's rmse: 0.023859	valid_0's l2: 0.00056925
[2368]	valid_0's rmse: 0.023859	valid_0's l2: 0.000569251
[2369]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569248
[2370]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569249
[2371]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569246
[2372]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569241
[2373]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569248
[2374]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569249
[2375]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569244
[2376]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569242
[2377]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569242
[2378]	valid_0's rmse: 0.0238589	valid_0's l2: 0.000569245
[2379]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569243
[2380]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569244
[2381]	valid_0's rmse: 0.0238587	valid_0's l2: 0.00056924
[2382]	valid_0's rmse: 0.0238587	valid_0's l2: 0.000569238
[2383]	valid_0's rmse: 0.0238587	valid_0's l2: 0.000569238
[2384]	valid_0's rmse: 0.0238587	valid_0's l2: 0.000569239
[2385]	valid_0's rmse: 0.0238588	valid_0's l2: 0.000569241
[2386]	valid_0's rmse: 0.0238586	valid_0's l2: 0.000569235
[2387]	valid_0's rmse: 0.0238585	valid_0's l2: 0.000569228
[2388]	valid_0's rmse: 0.0238585	valid_0's l2: 0.000569228
[2389]	valid_0's rmse: 0.0238585	valid_0's l2: 0.00056923
[2390]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569225
[2391]	valid_0's rmse: 0.0238585	valid_0's l2: 0.000569226
[2392]	valid_0's rmse: 0.0238585	valid_0's l2: 0.000569227
[2393]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569223
[2394]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569221
[2395]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569222
[2396]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569222
[2397]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569222
[2398]	valid_0's rmse: 0.0238583	valid_0's l2: 0.00056922
[2399]	valid_0's rmse: 0.0238583	valid_0's l2: 0.00056922
[2400]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569221
[2401]	valid_0's rmse: 0.0238585	valid_0's l2: 0.000569226
[2402]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569225
[2403]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569223
[2404]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569224
[2405]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569216
[2406]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569215
[2407]	valid_0's rmse: 0.0238583	valid_0's l2: 0.00056922
[2408]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569217
[2409]	valid_0's rmse: 0.0238583	valid_0's l2: 0.00056922
[2410]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569219
[2411]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569218
[2412]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569214
[2413]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569216
[2414]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569216
[2415]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569216
[2416]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569214
[2417]	valid_0's rmse: 0.0238581	valid_0's l2: 0.00056921
[2418]	valid_0's rmse: 0.0238581	valid_0's l2: 0.00056921
[2419]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569212
[2420]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569207
[2421]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569211
[2422]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569206
[2423]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569207
[2424]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569208
[2425]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569205
[2426]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569207
[2427]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569208
[2428]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569211
[2429]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569213
[2430]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569212
[2431]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569209
[2432]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569208
[2433]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569212
[2434]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569213
[2435]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569215
[2436]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569214
[2437]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569212
[2438]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569216
[2439]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569212
[2440]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569214
[2441]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569218
[2442]	valid_0's rmse: 0.0238584	valid_0's l2: 0.000569221
[2443]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569218
[2444]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569217
[2445]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569218
[2446]	valid_0's rmse: 0.0238583	valid_0's l2: 0.00056922
[2447]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569212
[2448]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569212
[2449]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569209
[2450]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569207
[2451]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569214
[2452]	valid_0's rmse: 0.0238583	valid_0's l2: 0.000569216
[2453]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569211
[2454]	valid_0's rmse: 0.0238582	valid_0's l2: 0.000569211
[2455]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569211
[2456]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569208
[2457]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569209
[2458]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569206
[2459]	valid_0's rmse: 0.0238579	valid_0's l2: 0.000569201
[2460]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569203
[2461]	valid_0's rmse: 0.0238579	valid_0's l2: 0.0005692
[2462]	valid_0's rmse: 0.0238579	valid_0's l2: 0.000569197
[2463]	valid_0's rmse: 0.0238579	valid_0's l2: 0.000569198
[2464]	valid_0's rmse: 0.0238579	valid_0's l2: 0.000569201
[2465]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569205
[2466]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569207
[2467]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569206
[2468]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569206
[2469]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569205
[2470]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569204
[2471]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569209
[2472]	valid_0's rmse: 0.0238581	valid_0's l2: 0.000569211
[2473]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569205
[2474]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569203
[2475]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569203
[2476]	valid_0's rmse: 0.023858	valid_0's l2: 0.000569202
[2477]	valid_0's rmse: 0.0238579	valid_0's l2: 0.000569201
[2478]	valid_0's rmse: 0.0238579	valid_0's l2: 0.0005692
[2479]	valid_0's rmse: 0.0238578	valid_0's l2: 0.000569196
[2480]	valid_0's rmse: 0.0238579	valid_0's l2: 0.000569199
[2481]	valid_0's rmse: 0.0238579	valid_0's l2: 0.000569198
[2482]	valid_0's rmse: 0.0238578	valid_0's l2: 0.000569196
[2483]	valid_0's rmse: 0.0238577	valid_0's l2: 0.000569192
[2484]	valid_0's rmse: 0.0238577	valid_0's l2: 0.000569192
[2485]	valid_0's rmse: 0.0238576	valid_0's l2: 0.000569184
[2486]	valid_0's rmse: 0.0238576	valid_0's l2: 0.000569184
[2487]	valid_0's rmse: 0.0238576	valid_0's l2: 0.000569186
[2488]	valid_0's rmse: 0.0238575	valid_0's l2: 0.00056918
[2489]	valid_0's rmse: 0.0238575	valid_0's l2: 0.00056918
[2490]	valid_0's rmse: 0.0238575	valid_0's l2: 0.000569181
[2491]	valid_0's rmse: 0.0238574	valid_0's l2: 0.000569177
[2492]	valid_0's rmse: 0.0238574	valid_0's l2: 0.000569175
[2493]	valid_0's rmse: 0.0238573	valid_0's l2: 0.000569172
[2494]	valid_0's rmse: 0.0238573	valid_0's l2: 0.000569171
[2495]	valid_0's rmse: 0.0238573	valid_0's l2: 0.000569173
[2496]	valid_0's rmse: 0.0238574	valid_0's l2: 0.000569175
[2497]	valid_0's rmse: 0.0238573	valid_0's l2: 0.00056917
[2498]	valid_0's rmse: 0.0238572	valid_0's l2: 0.000569165
[2499]	valid_0's rmse: 0.0238573	valid_0's l2: 0.000569169
[2500]	valid_0's rmse: 0.0238574	valid_0's l2: 0.000569173
Did not meet early stopping. Best iteration is:
[2498]	valid_0's rmse: 0.0238572	valid_0's l2: 0.000569165
2019-06-17 18:23:07,580 INFO - trainers.multi_lightgbm_trainer - Finished training for the 1-th regressor.
2019-06-17 18:23:07,580 INFO - trainers.multi_lightgbm_trainer - Started training for the 2-th regressor.
[1]	valid_0's rmse: 0.138507	valid_0's l2: 0.0191843
Training until validation scores don't improve for 200 rounds.
[2]	valid_0's rmse: 0.137587	valid_0's l2: 0.0189302
[3]	valid_0's rmse: 0.136674	valid_0's l2: 0.0186797
[4]	valid_0's rmse: 0.135783	valid_0's l2: 0.0184371
[5]	valid_0's rmse: 0.134881	valid_0's l2: 0.0181929
[6]	valid_0's rmse: 0.133985	valid_0's l2: 0.017952
[7]	valid_0's rmse: 0.133097	valid_0's l2: 0.0177148
[8]	valid_0's rmse: 0.132222	valid_0's l2: 0.0174828
[9]	valid_0's rmse: 0.131346	valid_0's l2: 0.0172519
[10]	valid_0's rmse: 0.130479	valid_0's l2: 0.0170247
[11]	valid_0's rmse: 0.129632	valid_0's l2: 0.0168045
[12]	valid_0's rmse: 0.128776	valid_0's l2: 0.0165833
[13]	valid_0's rmse: 0.127933	valid_0's l2: 0.0163667
[14]	valid_0's rmse: 0.127089	valid_0's l2: 0.0161515
[15]	valid_0's rmse: 0.126257	valid_0's l2: 0.0159409
[16]	valid_0's rmse: 0.125425	valid_0's l2: 0.0157315
[17]	valid_0's rmse: 0.124607	valid_0's l2: 0.0155269
[18]	valid_0's rmse: 0.123788	valid_0's l2: 0.0153236
[19]	valid_0's rmse: 0.122975	valid_0's l2: 0.0151229
[20]	valid_0's rmse: 0.122168	valid_0's l2: 0.0149251
[21]	valid_0's rmse: 0.121366	valid_0's l2: 0.0147298
[22]	valid_0's rmse: 0.120577	valid_0's l2: 0.0145387
[23]	valid_0's rmse: 0.119787	valid_0's l2: 0.0143489
[24]	valid_0's rmse: 0.119008	valid_0's l2: 0.0141628
[25]	valid_0's rmse: 0.118236	valid_0's l2: 0.0139798
[26]	valid_0's rmse: 0.117464	valid_0's l2: 0.0137977
[27]	valid_0's rmse: 0.116697	valid_0's l2: 0.0136182
[28]	valid_0's rmse: 0.115937	valid_0's l2: 0.0134413
[29]	valid_0's rmse: 0.115182	valid_0's l2: 0.0132669
[30]	valid_0's rmse: 0.114432	valid_0's l2: 0.0130948
[31]	valid_0's rmse: 0.113688	valid_0's l2: 0.0129249
[32]	valid_0's rmse: 0.112948	valid_0's l2: 0.0127573
[33]	valid_0's rmse: 0.112215	valid_0's l2: 0.0125923
[34]	valid_0's rmse: 0.111489	valid_0's l2: 0.0124297
[35]	valid_0's rmse: 0.110766	valid_0's l2: 0.0122691
[36]	valid_0's rmse: 0.110049	valid_0's l2: 0.0121108
[37]	valid_0's rmse: 0.109337	valid_0's l2: 0.0119547
[38]	valid_0's rmse: 0.10863	valid_0's l2: 0.0118006
[39]	valid_0's rmse: 0.107929	valid_0's l2: 0.0116487
[40]	valid_0's rmse: 0.107234	valid_0's l2: 0.0114992
[41]	valid_0's rmse: 0.106544	valid_0's l2: 0.0113517
[42]	valid_0's rmse: 0.105871	valid_0's l2: 0.0112086
[43]	valid_0's rmse: 0.105191	valid_0's l2: 0.0110651
[44]	valid_0's rmse: 0.104516	valid_0's l2: 0.0109235
[45]	valid_0's rmse: 0.103846	valid_0's l2: 0.010784
[46]	valid_0's rmse: 0.103181	valid_0's l2: 0.0106464
[47]	valid_0's rmse: 0.102521	valid_0's l2: 0.0105105
